macaddress;datetime;cpu;ram;disco;uptime;bytes_enviados;bytes_recebidos;pacotes_perdidos
80160640191877;2025-11-19 20:41:46.725452;5.0;74.5;26.6;271578.726211;4787.236354827881;6010.153239250183;5219
80160640191877;2025-11-19 20:42:46.757253;1.8;74.5;26.6;271638.758164;4787.322222709656;6010.26277923584;5221
80160640191877;2025-11-19 20:43:46.787440;4.9;74.7;26.6;271698.788297;4798.838688850403;6021.80366230011;5221
80160640191877;2025-11-19 20:44:46.825866;2.3;74.2;26.6;271758.826826;4798.915328979492;6021.902009963989;5225
80160640191877;2025-11-19 20:45:46.863098;4.1;74.4;26.6;271818.864051;4805.368991851807;6028.378578186035;5225
80160640191877;2025-11-19 20:46:46.984916;6.6;74.5;26.6;271878.985732;4831.516658782959;6054.550193786621;5225
80160640191877;2025-11-19 20:47:47.025131;6.1;74.4;26.6;271939.025958;4833.17831993103;6056.256500244141;5225
80160640191877;2025-11-19 20:48:47.065468;3.4;74.5;26.6;271999.066305;4835.653049468994;6058.761501312256;5229
80160640191877;2025-11-19 20:49:47.105297;5.3;74.6;26.6;272059.106155;4835.745825767517;6058.894316673279;5229
80160640191877;2025-11-19 20:50:47.148775;7.1;74.8;26.6;272119.149555;4838.479325294495;6061.6498346328735;5233
80160640191877;2025-11-19 20:51:47.186020;5.8;74.7;26.6;272179.186941;4855.207456588745;6078.39963722229;5233
80160640191877;2025-11-19 20:52:47.227382;3.9;75.0;26.6;272239.22832;4863.4570569992065;6086.671088218689;5233
80160640191877;2025-11-19 20:53:47.267617;6.2;74.7;26.6;272299.268518;4875.910466194153;6099.145758628845;5233
80160640191877;2025-11-19 20:54:47.320583;10.1;74.7;26.6;272359.32148;4925.174974441528;6148.432325363159;5237
80160640191877;2025-11-19 20:55:47.361475;4.4;75.3;26.6;272419.362374;4930.174709320068;6153.453874588013;5237
80160640191877;2025-11-19 20:56:47.391692;7.1;74.7;26.6;272479.39258;4954.687966346741;6177.988219261169;5241
80160640191877;2025-11-19 20:57:47.421921;2.0;74.9;26.6;272539.422813;4954.77442073822;6178.098359107971;5241
80160640191877;2025-11-19 20:58:47.461565;8.5;74.9;26.6;272599.462333;4985.630445480347;6208.974821090698;5245
80160640191877;2025-11-19 20:59:47.504030;5.4;74.6;26.6;272659.504864;4987.592987060547;6210.958089828491;5245
80160640191877;2025-11-19 21:00:47.554578;5.9;75.2;26.6;272719.555029;4987.682872772217;6211.069496154785;5245
80160640191877;2025-11-19 21:01:47.588777;3.6;74.9;26.6;272779.589595;4987.784664154053;6211.204957962036;5245
80160640191877;2025-11-19 21:02:47.628658;1.8;74.8;26.6;272839.629564;4987.876474380493;6211.317089080811;5249
80160640191877;2025-11-19 21:03:47.658184;8.2;75.0;26.6;272899.65912;5005.37073802948;6228.834139823914;5249
80160640191877;2025-11-19 21:04:47.698731;8.6;74.9;26.6;272959.699667;5027.170763969421;6250.655552864075;5253
80160640191877;2025-11-19 21:05:47.738894;5.0;75.0;26.6;273019.739762;5033.495945930481;6257.003535270691;5253
80160640191877;2025-11-19 21:06:47.771407;9.5;74.7;26.6;273079.771903;5053.4611711502075;6276.987881660461;5257
80160640191877;2025-11-19 21:07:47.823360;7.7;74.0;26.6;273139.824277;5053.561841011047;6277.107520103455;5257
80160640191877;2025-11-19 21:08:47.869918;6.2;73.7;26.6;273199.870686;5053.651570320129;6277.217080116272;5261
80160640191877;2025-11-19 21:09:47.900147;5.3;74.3;26.6;273259.900832;5053.7429895401;6277.330862998962;5261
80160640191877;2025-11-19 21:10:47.929329;5.4;74.2;26.6;273319.93023;5053.832914352417;6277.443817138672;5265
80160640191877;2025-11-19 21:11:47.982250;4.3;73.4;26.6;273379.983151;5053.914476394653;6277.544697761536;5265
80160640191877;2025-11-19 21:12:48.014106;4.6;73.5;26.6;273440.014996;5054.019780158997;6277.668189048767;5267
80160640191877;2025-11-19 21:13:48.054849;5.2;73.5;26.6;273500.0556;5054.1135358810425;6277.799592018127;5267
80160640191877;2025-11-19 21:14:48.086950;5.4;73.1;26.6;273560.087854;5054.192794799805;6277.904781341553;5267
80160640191877;2025-11-19 21:15:48.126968;5.3;73.5;26.6;273620.127601;5054.300395965576;6278.030958175659;5267
